Pclass,Sex,Age,Fare,Survived
3,1,22,7.25,0
1,2,38,71.2833,1
3,2,26,7.925,1
1,2,35,53.1,1
3,1,35,8.05,0
3,1,NaN,8.4583,0
1,1,54,51.8625,0
3,1,2,21.075,0
3,2,27,11.1333,1
2,2,14,30.0708,1
3,2,4,16.7,1
1,2,58,26.55,1
3,1,20,8.05,0
3,1,39,31.275,0
3,2,14,7.8542,0
2,2,55,16,1
3,1,2,29.125,0
2,1,NaN,13,1
3,2,31,18,0
3,2,NaN,7.225,1
2,1,35,26,0
2,1,34,13,1
3,2,15,8.0292,1
1,1,28,35.5,1
3,2,8,21.075,0
3,2,38,31.3875,1
3,1,NaN,7.225,0
1,1,19,263,0
3,2,NaN,7.8792,1
3,1,NaN,7.8958,0
1,1,40,27.7208,0
1,2,NaN,146.5208,1
3,2,NaN,7.75,1
2,1,66,10.5,0
1,1,28,82.1708,0
1,1,42,52,0
3,1,NaN,7.2292,1
3,1,21,8.05,0
3,2,18,18,0
3,2,14,11.2417,1
3,2,40,9.475,0
2,2,27,21,0
3,1,NaN,7.8958,0
2,2,3,41.5792,1
3,2,19,7.8792,1
3,1,NaN,8.05,0
3,1,NaN,15.5,0
3,2,NaN,7.75,1
3,1,NaN,21.6792,0
3,2,18,17.8,0
3,1,7,39.6875,0
3,1,21,7.8,0
1,2,49,76.7292,1
2,2,29,26,1
1,1,65,61.9792,0
1,1,NaN,35.5,1
2,2,21,10.5,1
3,1,28.5,7.2292,0
2,2,5,27.75,1
3,1,11,46.9,0
3,1,22,7.2292,0
1,2,38,80,1
1,1,45,83.475,0
3,1,4,27.9,0
1,1,NaN,27.7208,0
3,1,NaN,15.2458,1
2,2,29,10.5,1
3,1,19,8.1583,0
3,2,17,7.925,1
3,1,26,8.6625,0
2,1,32,10.5,0
3,2,16,46.9,0
2,1,21,73.5,0
3,1,26,14.4542,0
3,1,32,56.4958,1
3,1,25,7.65,0
3,1,NaN,7.8958,0
3,1,NaN,8.05,0
2,1,0.83,29,1
3,2,30,12.475,1
3,1,22,9,0
3,1,29,9.5,1
3,2,NaN,7.7875,1
1,1,28,47.1,0
2,2,17,10.5,1
3,2,33,15.85,1
3,1,16,34.375,0
3,1,NaN,8.05,0
1,2,23,263,1
3,1,24,8.05,0
3,1,29,8.05,0
3,1,20,7.8542,0
1,1,46,61.175,0
3,1,26,20.575,0
3,1,59,7.25,0
3,1,NaN,8.05,0
1,1,71,34.6542,0
1,1,23,63.3583,1
2,2,34,23,1
2,1,34,26,0
3,2,28,7.8958,0
3,1,NaN,7.8958,0
1,1,21,77.2875,0
3,1,33,8.6542,0
3,1,37,7.925,0
3,1,28,7.8958,0
3,2,21,7.65,1
3,1,NaN,7.775,1
3,1,38,7.8958,0
3,2,NaN,24.15,1
1,1,47,52,0
3,2,14.5,14.4542,0
3,1,22,8.05,0
3,2,20,9.825,0
3,2,17,14.4583,0
3,1,21,7.925,0
3,1,70.5,7.75,0
2,1,29,21,0
1,1,24,247.5208,0
3,2,2,31.275,0
2,1,21,73.5,0
3,1,NaN,8.05,0
2,1,32.5,30.0708,0
2,2,32.5,13,1
1,1,54,77.2875,0
3,1,12,11.2417,1
3,1,NaN,7.75,0
3,1,24,7.1417,1
3,2,NaN,22.3583,1
3,1,45,6.975,0
3,1,33,7.8958,0
3,1,20,7.05,0
3,2,47,14.5,0
2,2,29,26,1
2,1,25,13,0
2,1,23,15.0458,0
1,2,19,26.2833,1
1,1,37,53.1,0
3,1,16,9.2167,0
1,1,24,79.2,0
3,2,NaN,15.2458,0
3,2,22,7.75,1
3,2,24,15.85,1
3,1,19,6.75,0
2,1,18,11.5,0
2,1,19,36.75,0
3,1,27,7.7958,1
3,2,9,34.375,0
2,1,36.5,26,0
2,1,42,13,0
2,1,51,12.525,0
1,2,22,66.6,1
3,1,55.5,8.05,0
3,1,40.5,14.5,0
3,1,NaN,7.3125,0
1,1,51,61.3792,0
3,2,16,7.7333,1
3,1,30,8.05,0
3,1,NaN,8.6625,0
3,1,NaN,69.55,0
3,1,44,16.1,0
2,2,40,15.75,1
3,1,26,7.775,0
3,1,17,8.6625,0
3,1,1,39.6875,0
3,1,9,20.525,1
1,2,NaN,55,1
3,2,45,27.9,0
1,1,NaN,25.925,0
3,1,28,56.4958,0
1,1,61,33.5,0
3,1,4,29.125,0
3,2,1,11.1333,1
3,1,21,7.925,0
1,1,56,30.6958,0
3,1,18,7.8542,0
3,1,NaN,25.4667,0
1,2,50,28.7125,0
2,1,30,13,0
3,1,36,0,0
3,2,NaN,69.55,0
2,1,NaN,15.05,0
3,1,9,31.3875,0
2,1,1,39,1
3,2,4,22.025,1
1,1,NaN,50,0
3,2,NaN,15.5,1
1,1,45,26.55,1
3,1,40,15.5,0
3,1,36,7.8958,0
2,2,32,13,1
2,1,19,13,0
3,2,19,7.8542,1
2,1,3,26,1
1,2,44,27.7208,1
1,2,58,146.5208,1
3,1,NaN,7.75,0
3,1,42,8.4042,0
3,2,NaN,7.75,1
2,2,24,13,0
3,1,28,9.5,0
3,1,NaN,69.55,0
3,1,34,6.4958,0
3,1,45.5,7.225,0
3,1,18,8.05,1
3,2,2,10.4625,0
3,1,32,15.85,0
3,1,26,18.7875,1
3,2,16,7.75,1
1,1,40,31,1
3,1,24,7.05,0
2,2,35,21,1
3,1,22,7.25,0
2,1,30,13,0
3,1,NaN,7.75,0
1,2,31,113.275,1
3,2,27,7.925,1
2,1,42,27,0
1,2,32,76.2917,1
2,1,30,10.5,0
3,1,16,8.05,1
2,1,27,13,0
3,1,51,8.05,0
3,1,NaN,7.8958,0
1,1,38,90,1
3,1,22,9.35,0
2,1,19,10.5,1
3,1,20.5,7.25,0
2,1,18,13,0
3,2,NaN,25.4667,0
1,2,35,83.475,1
3,1,29,7.775,0
2,1,59,13.5,0
3,2,5,31.3875,1
2,1,24,10.5,0
3,2,NaN,7.55,0
2,1,44,26,0
2,2,8,26.25,1
2,1,19,10.5,0
2,1,33,12.275,0
3,2,NaN,14.4542,0
3,2,NaN,15.5,1
2,1,29,10.5,0
3,1,22,7.125,0
3,1,30,7.225,0
1,1,44,90,0
3,2,25,7.775,0
2,2,24,14.5,1
1,1,37,52.5542,1
2,1,54,26,0
3,1,NaN,7.25,0
3,2,29,10.4625,0
1,1,62,26.55,0
3,1,30,16.1,0
3,2,41,20.2125,0
3,2,29,15.2458,1
1,2,NaN,79.2,1
1,2,30,86.5,1
1,2,35,512.3292,1
2,2,50,26,1
3,1,NaN,7.75,0
3,1,3,31.3875,1
1,1,52,79.65,0
1,1,40,0,0
3,2,NaN,7.75,0
2,1,36,10.5,0
3,1,16,39.6875,0
3,1,25,7.775,1
1,2,58,153.4625,1
1,2,35,135.6333,1
1,1,NaN,31,0
3,1,25,0,1
2,2,41,19.5,1
1,1,37,29.7,0
3,2,NaN,7.75,1
1,2,63,77.9583,1
3,2,45,7.75,0
2,1,NaN,0,0
3,1,7,29.125,0
3,2,35,20.25,1
3,1,65,7.75,0
3,1,28,7.8542,0
3,1,16,9.5,0
3,1,19,8.05,1
1,1,NaN,26,0
3,1,33,8.6625,0
3,1,30,9.5,1
3,1,22,7.8958,0
2,1,42,13,1
3,2,22,7.75,1
1,2,26,78.85,1
1,2,19,91.0792,1
2,1,36,12.875,0
3,2,24,8.85,0
3,1,24,7.8958,0
1,1,NaN,27.7208,0
3,1,23.5,7.2292,0
1,2,2,151.55,0
1,1,NaN,30.5,1
1,2,50,247.5208,1
3,2,NaN,7.75,1
3,1,NaN,23.25,1
3,1,19,0,0
2,2,NaN,12.35,1
3,1,NaN,8.05,0
1,1,0.92,151.55,1
1,2,NaN,110.8833,1
1,2,17,108.9,1
2,1,30,24,0
1,2,30,56.9292,1
1,2,24,83.1583,1
1,2,18,262.375,1
2,2,26,26,0
3,1,28,7.8958,0
2,1,43,26.25,0
3,2,26,7.8542,1
2,2,24,26,1
2,1,54,14,0
1,2,31,164.8667,1
